Student	English	French	History	Algebra	Biology	Physics	Physical
string	continuous	continuous	continuous	continuous	continuous	continuous	continuous
meta							
Ana	22	30	32	21	37	46	99
Bill	91	95	65	89	39	11	29
Cynthia	51	89	21	100	70	100	27
Demi	9	15	18	61	100	90	8
Eve	93	99	39	12	47	17	63
Fred	49	17	17	92	70	98	73
George	91	99	97	49	96	81	69
Henry	12	30	32	34	12	33	96
Ian	91	80	20	82	93	87	22
Jena	39	18	19	99	97	77	23
Katherine	20	50	10	71	99	78	12
Lea	90	100	45	45	20	15	100
Maya	100	98	97	32	72	22	37
Nash	14	4	15	61	42	51	39
Olga	9	22	8	100	11	92	29
Phill	85	90	100	45	38	92	21
